Year,Month,Day,Y
2000,10,17,-0.001293542
2000,10,18,-0.003937104
2000,10,19,0.007167826
2000,10,20,0.003633608
2000,10,23,-0.004509487
2000,10,24,-0.002863479
2000,10,25,-0.002686182
2000,10,26,0.005826337
2000,10,27,0.000599203
2000,10,30,0.003358101
2000,10,31,0.002889049
2000,11,1,-0.006569752
2000,11,2,-0.000922297
2000,11,3,-0.009176928
2000,11,6,-0.000745261
2000,11,7,-0.00223912
2000,11,8,0.003822136
2000,11,9,0.000279096
2000,11,10,0.003806522
2000,11,13,-0.003109123
2000,11,14,0.004729457
2000,11,15,0.00493737
2000,11,16,0.003904909
2000,11,17,-0.001651983
2000,11,20,0.007594857
2000,11,21,0.005454559
2000,11,22,-0.001315461
2000,11,23,0.001768668
2000,11,24,0.007673249
2000,11,27,-0.005591141
2000,11,28,-0.004123157
2000,11,29,0.007148058
2000,11,30,-0.001263025
2000,12,1,0.003469488
2000,12,4,-0.000494905
2000,12,5,-0.003516368
2000,12,6,-0.002758622
2000,12,7,0.002397269
2000,12,8,0.005855873
2000,12,11,-0.004862465
2000,12,12,0.006522887
2000,12,13,0.007282182
2000,12,14,-0.001782135
2000,12,15,0.002271665
2000,12,18,-0.003253195
2000,12,19,0.003520111
2000,12,20,0.001733218
2000,12,21,-0.003202137
2000,12,22,0.004001072
2000,12,25,0
2000,12,26,0.007778357
2000,12,27,0.005225154
2000,12,28,0.006112488
2000,12,29,-0.005849757
2001,1,1,0
2001,1,2,0.002579857
2001,1,3,-0.000961202
2001,1,4,0.00913765
2001,1,5,0.006303993
2001,1,8,0.000215188
2001,1,9,0.002106395
2001,1,10,-0.001375102
2001,1,11,0.011160878
2001,1,12,0.003396166
2001,1,15,0.008062007
2001,1,16,-0.009886012
2001,1,17,-0.001657212
2001,1,18,0.003820201
2001,1,19,-0.00582101
2001,1,22,-0.005212351
2001,1,23,0.002780453
2001,1,24,0.009226844
2001,1,25,-0.01265004
2001,1,26,0.002824982
2001,1,29,-0.000812435
2001,1,30,-0.0017554
2001,1,31,-0.003391071
2001,2,1,-0.00824649
2001,2,2,0.003073396
2001,2,5,-0.006634746
2001,2,6,0.000608934
2001,2,7,0.009046702
2001,2,8,0.00090449
2001,2,9,0.012960253
2001,2,12,0
2001,2,13,-0.002297482
2001,2,14,-0.007482025
2001,2,15,-0.006803626
2001,2,16,-0.002509194
2001,2,19,0.004882801
2001,2,20,-0.00401685
2001,2,21,0.008961714
2001,2,22,-0.001932036
2001,2,23,0.000429664
2001,2,26,0.002831162
2001,2,27,-0.004206737
2001,2,28,0.009078125
2001,3,1,-0.000682274
2001,3,2,0.015617712
2001,3,5,0.000293926
2001,3,6,-0.001680743
2001,3,7,0.007165486
2001,3,8,-0.000626501
2001,3,9,-0.000208921
2001,3,12,0.007161923
2001,3,13,-0.003449641
2001,3,14,0.006639304
2001,3,15,0.007457955
2001,3,16,0.008787223
2001,3,19,-0.005794988
2001,3,20,0.003432077
2001,3,21,0.005288435
2001,3,22,0.008202563
2001,3,23,-0.012634816
2001,3,26,0.003782876
2001,3,27,-8.12E-05
2001,3,28,-0.010859022
2001,3,29,0.009762152
2001,3,30,0.018604813
2001,4,2,0.008897421
2001,4,3,-0.004121103
2001,4,4,-0.005374966
2001,4,5,-0.005002712
2001,4,6,-0.00567326
2001,4,9,0.008917871
2001,4,10,-0.004248163
2001,4,11,0.001605201
2001,4,12,-0.010115548
2001,4,13,0
2001,4,16,0.009112599
2001,4,17,-0.006564002
2001,4,18,-0.009376781
2001,4,19,-0.006751944
2001,4,20,0.007445015
2001,4,23,-0.0073629
2001,4,24,0.003606413
2001,4,25,-0.001146085
2001,4,26,0.001963914
2001,4,27,0.011864753
2001,4,30,-0.002021673
2001,5,1,-0.011929866
2001,5,2,-0.000655577
2001,5,3,-0.007818005
2001,5,4,-0.000165248
2001,5,7,0.001898709
2001,5,8,0.004731059
2001,5,9,0.002500462
2001,5,10,0.004371011
2001,5,11,-0.003266242
2001,5,14,0.007821132
2001,5,15,0.001297596
2001,5,16,0.001983686
2001,5,17,-0.004865006
2001,5,18,0.005633133
2001,5,21,-0.006486948
2001,5,22,-0.001995074
2001,5,23,-0.017556212
2001,5,24,-0.005490177
2001,5,25,0.006650895
2001,5,28,0.002813291
2001,5,29,-0.00792223
2001,5,30,0.002038397
2001,5,31,-0.012503561
2001,6,1,0.000673061
2001,6,4,0.006413368
2001,6,5,0.00446085
2001,6,6,0.001994682
2001,6,7,-0.004201774
2001,6,8,0.006979381
2001,6,11,0.009107644
2001,6,12,0.000451162
2001,6,13,-0.001682638
2001,6,14,-0.003332582
2001,6,15,0.007717925
2001,6,18,0.006034185
2001,6,19,-0.000976046
2001,6,20,0.003330899
2001,6,21,0.008962515
2001,6,22,-0.000401994
2001,6,25,-0.004069223
2001,6,26,0.000161473
2001,6,27,0.001653593
2001,6,28,0.006747285
2001,6,29,-0.001562281
2001,7,2,-0.003212338
2001,7,3,0.001647612
2001,7,4,-0.00060247
2001,7,5,0.010192953
2001,7,6,0.002502335
2001,7,9,-0.004811621
2001,7,10,0.000119577
2001,7,11,-0.010457036
2001,7,12,-0.001975449
2001,7,13,0.007197602
2001,7,16,0.004477321
2001,7,17,-0.002236155
2001,7,18,-0.005531963
2001,7,19,-0.007180925
2001,7,20,-0.003203636
2001,7,23,0.009057154
2001,7,24,-0.001288868
2001,7,25,-0.00391706
2001,7,26,0.001980639
2001,7,27,-0.000484692
2001,7,30,0.011288661
2001,7,31,-0.002239553
2001,8,1,-0.0010415
2001,8,2,-0.008654229
2001,8,3,-0.002063901
2001,8,6,0.003477842
2001,8,7,-0.000524945
2001,8,8,-0.005711408
2001,8,9,-0.000162503
2001,8,10,-0.009839826
2001,8,13,0.002990764
2001,8,14,-0.003524305
2001,8,15,-0.015431064
2001,8,16,0.002040775
2001,8,17,0.000873344
2001,8,20,0.003320056
2001,8,21,-0.007360466
2001,8,22,-0.000166966
2001,8,23,0.003334031
2001,8,24,-0.001457271
2001,8,27,0.00054152
2001,8,28,0.005274865
2001,8,29,-0.009991757
2001,8,30,0.004092035
2001,8,31,-0.008242897
2001,9,3,-0.002102962
2001,9,4,0.000799647
2001,9,5,0.01291581
2001,9,6,0.007076526
2001,9,7,-0.008572723
2001,9,10,0.005723307
2001,9,11,-0.018532189
2001,9,12,0.006466807
2001,9,13,-0.004446689
2001,9,14,-0.013843542
2001,9,17,0.003319576
2001,9,18,-0.002169244
2001,9,19,-0.001107703
2001,9,20,-0.009508381
2001,9,21,0.003608406
2001,9,24,0.00743339
2001,9,25,-0.00072382
2001,9,26,0.004207848
2001,9,27,0.014944815
2001,9,28,-0.004439054
2001,10,1,0.008192656
2001,10,2,0.00585246
2001,10,3,-0.000828055
2001,10,4,-0.000994571
2001,10,5,-0.002740183
2001,10,8,-0.00345668
2001,10,9,0.001917226
2001,10,10,0.001871998
2001,10,11,0.00868995
2001,10,12,0.000659006
2001,10,15,-0.003464635
2001,10,16,0.001775063
2001,10,17,-0.002436357
2001,10,18,0.00070261
2001,10,19,0.002063643
2001,10,22,0.005878622
2001,10,23,0.008367567
2001,10,24,-0.000772593
2001,10,25,-0.00191372
2001,10,26,0.00358015
2001,10,29,-0.009220415
2001,10,30,-0.003078757
2001,10,31,0.006474902
2001,11,1,-0.005981663
2001,11,2,-0.000575469
2001,11,5,0.000369982
2001,11,6,-0.00510962
2001,11,7,0.000123929
2001,11,8,-0.002067483
2001,11,9,-0.004771496
2001,11,12,8.32E-05
2001,11,13,0.010260744
2001,11,14,0.001069651
2001,11,15,0.006761628
2001,11,16,0.002569699
2001,11,19,0.004633213
2001,11,20,-0.005448275
2001,11,21,0.004109288
2001,11,22,0.005789373
2001,11,23,0.004591413
2001,11,26,-0.001246457
2001,11,27,-0.002658933
2001,11,28,-0.006069453
2001,11,29,0.00538343
2001,11,30,-0.005992406
2001,12,3,0.005629027
2001,12,4,0.002661721
2001,12,5,0.000885668
2001,12,6,0.002331191
2001,12,7,0.008474966
2001,12,10,0.004567397
2001,12,11,0.000831799
2001,12,12,-0.000277189
2001,12,13,0.001029173
2001,12,14,0.007724481
2001,12,17,0.002000197
2001,12,18,0.00187889
2001,12,19,0.0019144
2001,12,20,0.00397336
