Year,Month,usgdp,uspercon,usretail,usindusp,uscapu,usperin,usconsum,usnewhome,usdur,usunem,usconex,usbusi,usfeder,uscpi,uscci,usfederate,usm1,nvix
2000,1,0.00289753,0.01510004,-0.006763277,0.000172041,-0.00328658,0.013308853,0.004830708,0,0.003839382,0,-0.005705151,0.002426577,0.467740378,0.002957707,0.020950487,0,0,25.318958
2000,2,0.00289753,0.01510004,0.014724447,0.002769818,-0.00066179,0.007262968,0.006908141,-0.01966518,-0.052857862,0.024692613,0.01114489,0.00560869,2.489241386,0.004126148,-0.02732219,0.044451763,-0.012193086,24.452425
2000,3,0.00289753,0.01510004,0.011593443,0.003801818,0.00039444,0.006893172,0.007886145,0.050124387,0.054489615,-0.024692613,0.019613951,0.003683778,-0.17959299,0.005865119,-0.026629857,0.042559614,-0.000992735,23.72763
2000,4,0.01871155,0.00955524,-0.015180488,0.007328088,0.003952897,0.003675602,0.005796384,-0.067803103,0.010648122,-0.051293294,-0.005814571,0.005966525,1.221822354,-0.000584966,0.004366819,0,0.007287154,26.977818
2000,5,0.01871155,0.00955524,0.001283091,0.001593664,-0.001750312,0.004036988,0.008230886,0.018846259,-0.024697919,0.051293294,0.000296937,0.005532582,45.16975907,0.001753874,0.049585228,0.080042708,-0.009547042,23.686015
2000,6,0.01871155,0.00955524,0.00744475,0.000985482,-0.002325907,0.005710097,0.016310831,-0.077614697,0.039850894,0,-0.011989526,0.008800704,1.064611366,0.005824128,-0.038750886,0,-0.002174308,23.636873
2000,7,0.00120205,0.00967758,-0.002900825,-0.00144459,-0.004700004,0.007656202,0.012474093,0.112021761,-0.039285386,0,-0.014711456,0.000945678,-10.0428769,0.002899393,0.026932882,0,0.00081592,24.745944
2000,8,0.00120205,0.00967758,0.001055819,-0.002943714,-0.006180251,0.00460716,0.013326327,-0.044964347,0.004808379,0.024692613,0.027118284,0.006693707,1.485374508,0,-0.015504187,0,-0.002994965,22.762826
2000,9,0.00120205,0.00967758,0.016822507,0.003844999,0.000625668,0.00425344,0.010471291,0.072759354,0.020208045,-0.050010421,0.011099899,0.000164784,1.158592788,0.005197817,0.012001556,0,-0.000454566,23.65511
2000,10,0.0056679,0.0088659,-0.002239958,-0.003003951,-0.006212299,0.00286885,0.009302613,0.022765211,-0.03013212,0,0.002171207,0.005441192,6.807525837,0.001726619,-0.048158785,0,-0.000909753,26.856832
2000,11,0.0056679,0.0088659,-0.003248001,0.000192859,-0.002972509,0.001024368,0.009655965,-0.058483293,-0.008920365,0,0.004833295,0.005964094,0.522119038,0.001723643,-0.023846137,0,-0.005750552,29.437178
2000,12,0.0056679,0.0088659,-0.0008626,-0.002664532,-0.005785051,0.00290419,0.009377238,0.110687213,-0.0053212,0,-0.010466088,-0.000956149,1.725218882,0.002293579,-0.030630266,0,-0.003484644,27.790947
2001,1,-0.00284765,0.00421627,0.01097329,-0.006448741,-0.009543948,0.011307015,0.007474724,-0.048993644,-0.027548011,0.074107972,0.003644542,0.001713566,0.572316998,0.005711038,-0.105706178,-0.167054085,0.007413204,25.609368
2001,2,-0.00284765,0.00421627,-0.000218792,-0.0060968,-0.009204539,0.004481292,0.010838139,0.028437935,-0.002365191,0,-0.001022034,-0.005310647,2.585679289,0.002275314,-0.057819571,0,0.004094824,27.517168
2001,3,-0.00284765,0.00421627,-0.008367858,-0.002665947,-0.005705845,0.003775761,0.006747815,-0.025237933,-0.044903866,0.023530497,0.017555382,-0.004653307,0.049228218,0.00056802,0.068137805,-0.09531018,0.007058214,30.3381
2001,4,0.00528684,0.00256396,0.015641189,-0.002869936,-0.005783763,-0.000134607,0.00710686,-0.032470385,-0.038711159,0.022989518,0.017163472,-0.001378611,1.266928702,0.001702128,-0.061748007,-0.105360516,0.006919199,28.300646
2001,5,0.00528684,0.00256396,0.002447076,-0.006144671,-0.008917252,6.46E-05,0.004546155,-0.026757449,0.043398804,-0.022989518,0.006807327,-0.001964892,7.798094488,0.00508907,0.054881027,-0.117783036,0.001610594,26.520298
2001,6,0.00528684,0.00256396,-0.003897516,-0.005966028,-0.008607286,0.000537175,0.006263061,-0.003395589,-0.008117961,0.045462374,0.008902115,-0.00758553,1.876247568,0.002253522,0.023830915,-0.064538521,0.006860632,25.11233
2001,7,-0.00316756,0.0036484,-0.003204118,-0.005668482,-0.008209103,-0.00018599,0.002775974,-0.002270149,-0.027357021,0.021978907,-0.006164592,-0.006954888,-10.29858156,-0.001689665,-0.022109744,0,0.01121375,27.036138
2001,8,-0.00316756,0.0036484,0.006806737,-0.001361347,-0.003802871,-0.000682702,0.004999564,-0.016036999,0.002460813,0.063178902,-0.003540773,-0.001241065,1.035254407,0,-0.019974611,-0.068992871,0.009786011,25.601332
2001,9,-0.00316756,0.0036484,-0.019118174,-0.003829107,-0.006152823,-0.00162237,0.004360232,-0.015125361,-0.030393077,0.020202707,-0.011933357,-0.00547906,3.253175967,0.00393812,-0.16148747,-0.15415068,0.047128473,33.586971
2001,10,0.00277143,0.01516118,0.06470965,-0.004340739,-0.006516683,0.003340352,0.008555202,0.020882429,-0.028109348,0.058268908,0.010133434,-0.015821303,5.637016719,-0.00281136,-0.128536524,-0.182321557,-0.033741392,31.79759
2001,11,0.00277143,0.01516118,-0.025545917,-0.005000446,-0.007044718,0.000754184,0.015187351,0.059070095,0.017556168,0.037041272,-0.002402578,-0.011269707,0.858919786,-0.000563222,-0.004700361,-0.223143551,0.004536708,29.621818
2001,12,0.00277143,0.01516118,-0.011933935,0.000328176,-0.001563202,0.001000853,0.005373549,0.057819571,0.010384256,0.035718083,0.006823361,-0.006913587,3.042646893,-0.000563539,0.108183383,-0.133531393,0.010449949,26.702107
