Namelist,X_est,SE,pVal,Significance
Mu,5.16725114178074e-06,8.72842902891243e-05,0.952793068777521,0
Alpha,0.0316175171957943,0.00567849319656295,2.57845500144598e-08,1
Beta,0.934280288218343,0.0119181840758749,0,1
M,-10.2353019339841,0.235120940070775,0,1
Theta_usgdp,27.4320666726811,7.35649138765531,0.000192298479141985,1
Theta_uspercon,-8.31690231684682,6.77393473080047,0.219533946102063,0
Theta_usretail,20.8046897771187,11.943342312183,0.0815203422824108,0
Theta_usindusp,-112.392108255764,42.0765590266042,0.00756013341821761,1
Theta_uscapu,107.3879164188,42.446007798797,0.0114074116352359,1
Theta_usperin,-17.8894653897227,4.80484368996066,0.000196729825717776,1
Theta_usconsum,26.9782913759953,20.8429503959871,0.195545218786655,0
Theta_usnewhome,-15.7514348771308,3.14053347812898,5.29011425072594e-07,1
Theta_usdur,11.4329034557863,6.33380042613339,0.0710676646784708,0
Theta_usunem,-2.36224819560528,1.59684959464287,0.139059159778704,0
Theta_usconex,4.2633369245552,2.86733557028733,0.137054603196696,0
Theta_usbusi,-115.743695197998,23.3292141732531,7.00329155350169e-07,1
Theta_usfeder,-0.0729618575479765,0.0143159590791168,3.46006846994805e-07,1
Theta_uscpi,-26.0284072972802,14.0755248828906,0.0644320453227884,0
Theta_uscci,-12.2093332582729,2.66267407575636,4.53288813020006e-06,1
Theta_usfederate,3.64996886022438,1.59615365376262,0.0222129995069154,1
Theta_usm1,16.9685121657853,9.55178494340967,0.0756573782783013,0
Theta_nvix,0.606538831653679,0.770156906219666,0.43096305302654,0
W_usgdp,41.972793478473,58.6339143084209,0.474091311603167,0
W_uspercon,49.4123447670749,61.3712829176316,0.420744572587412,0
W_usretail,7.47335632172909,5.22673271734538,0.152768814899694,0
W_usindusp,12.3890377348254,7.09394115731383,0.0807399991922732,0
W_uscapu,13.6596994701114,7.58503465446733,0.0717253030939258,0
W_usperin,49.8353573247448,38.1600643008242,0.191571848167353,0
W_usconsum,1.76566384817689,0.87304654293946,0.0431353303850573,1
W_usnewhome,1.00715967292591,0.0119330770572476,0,1
W_usdur,2.43943029583116,1.12638065088411,0.030333825376628,1
W_usunem,15.019762678979,11.6612336077339,0.19774746314473,0
W_usconex,30.1441456737725,27.2249770384863,0.268201719852889,0
W_usbusi,1.03582339928156,0.0901771102928268,1.5435204415003e-30,1
W_usfeder,1.0571540588037,0.049058225435864,5.43840834578687e-103,1
W_uscpi,15.6678954318229,10.943060736675,0.152214911308,0
W_uscci,1.00119139606494,0.0132148968491909,0,1
W_usfederate,1.14684401975852,0.263741290649705,1.37180804170395e-05,1
W_usm1,4.24568988044939,1.92721355096761,0.0275948323441412,1
W_nvix,4.16753853970442,8.28901437754125,0.615123374136728,0
