Namelist,X_est,SE,pVal,Significance
Mu,-1.84354981299192e-05,9.39609382188508e-05,0.844452084930521,0
Alpha,1.51395562388544e-06,0.00465819703635091,0.999740682885903,0
Beta,0.939769348352903,0.00985839961203456,0,1
M,-11.3195137662986,0.181354830431862,0,1
Theta_usgdp,96.2826516933794,9.44128788011729,2.02513345992987e-24,1
Theta_uspercon,63.0362650022351,9.39149155104324,1.9197901227632e-11,1
Theta_usretail,-67.9857467318325,11.3373682807943,2.01553683079591e-09,1
Theta_usindusp,-23.4114442836985,8.13957035610694,0.00402465219496132,1
Theta_uscapu,-63.9161171323338,11.2330125117778,1.27061694910523e-08,1
Theta_usperin,68.6682930003784,13.002961661982,1.28534966064285e-07,1
Theta_usconsum,-56.7730679782321,10.1156140283486,1.9957928678416e-08,1
Theta_usnewhome,3.20076894575646,0.656683922622785,1.09309709306366e-06,1
Theta_usdur,15.0272558715432,4.43382333508811,0.000700969957807319,1
Theta_usunem,8.97831962470866,2.1789206418856,3.78057832166974e-05,1
Theta_usconex,-35.6742385744968,4.15869609999385,9.64157032449874e-18,1
Theta_usbusi,-20.2965451656123,5.09982865299974,6.89702866864429e-05,1
Theta_usfeder,-0.110338232966479,0.00839974199908481,2.05360525174126e-39,1
Theta_uscpi,23.8301742451439,10.2157004394947,0.0196650206311321,1
Theta_uscci,-16.1191541598889,1.88435060964892,1.18750357631675e-17,1
Theta_usfederate,1.37471926327186,0.34180283494627,5.77239285971176e-05,1
Theta_usm1,-22.7150366110401,4.52930088150608,5.30106425296571e-07,1
Theta_nvix,2.63625316571592,0.574846028137014,4.51878807424557e-06,1
W1_usgdp,21.2331948857078,4.97569709397618,1.97817548697728e-05,1
W1_uspercon,30.8792784139541,11.0703557784335,0.00528156435753227,1
W1_usretail,2.08195442287681,0.548863730159492,0.000148735138849606,1
W1_usindusp,49.7731093032839,18.3391060159246,0.0066472902812003,1
W1_uscapu,28.5634597270717,7.34020543540121,9.96948751471548e-05,1
W1_usperin,15.0729832659,3.31640998511362,5.49544984960031e-06,1
W1_usconsum,49.9937514642741,8.08090009787549,6.14768754573726e-10,1
W1_usnewhome,29.8833566649592,12.9183569198264,0.0207102551629116,1
W1_usdur,10.7695038102018,3.19245596830644,0.000742485803555798,1
W1_usunem,9.90299187523438,1.8877218427263,1.55477948526525e-07,1
W1_usconex,7.96417867781058,2.25683492079897,0.000417320443058726,1
W1_usbusi,44.5672817765375,77.104958653145,0.563262470692608,0
W1_usfeder,1.03811984853092,0.0219626154694462,0,1
W1_uscpi,49.9929413248425,13.3091696166399,0.000172483912445546,1
W1_uscci,1.01583565540586,0.00694613904692501,0,1
W1_usfederate,8.95449658076224,1.33098586682931,1.72421812147633e-11,1
W1_usm1,10.9911175782352,2.9934992710237,0.000241011442910064,1
W1_nvix,49.9889543703024,18.2833483010778,0.00625513311741527,1
W2_usgdp,42.2467933771417,10.2422773790534,3.7120779230951e-05,1
W2_uspercon,9.6469118087838,3.33969803392223,0.00387046615523853,1
W2_usretail,2.08617574939559,0.505094493707515,3.6240263503006e-05,1
W2_usindusp,24.6706481062439,8.44370336610672,0.00348067999866014,1
W2_uscapu,30.0411508130628,8.32748849490968,0.000309240510084178,1
W2_usperin,5.93117512691208,1.15705815010228,2.95910781216884e-07,1
W2_usconsum,17.0982779548491,2.6190743426667,6.65185026860913e-11,1
W2_usnewhome,49.9661020791182,21.3172583241833,0.0190830444808132,1
W2_usdur,4.06728211983247,1.20685306953949,0.000751346771289264,1
W2_usunem,22.1712151187424,3.31216576981191,2.17436325443441e-11,1
W2_usconex,14.6530792093388,4.37433812541481,0.000808845574990382,1
W2_usbusi,6.74508748961093,11.3873733507117,0.553633161349232,0
W2_usfeder,1.15775613471543,0.119602398797759,3.66901634537163e-22,1
W2_uscpi,25.0247221335391,6.23049158563708,5.90804178456237e-05,1
W2_uscci,1.55041097057533,0.151731159581379,1.64624311840971e-24,1
W2_usfederate,49.9944054780355,8.37186555484906,2.34853062321248e-09,1
W2_usm1,22.4621300677533,6.55412649355866,0.00060997258765199,1
W2_nvix,18.3909605507781,5.71629617587794,0.00129423375499152,1
